Exchange Date,Open,OpenEURUSD,OpenUSDCHF,OpenUSDJPY,OpenNZDCAD
12-Jan-06,1.7639,1.2123,1.2758,114.15,0.8079
11-Jan-06,1.7652,1.2061,1.2802,114.3,0.8081
10-Jan-06,1.765,1.2082,1.2758,114.37,0.81
9-Jan-06,1.7687,1.2146,1.2704,114.53,0.8047
6-Jan-06,1.7555,1.2106,1.2758,115.88,0.7982
5-Jan-06,1.7583,1.2122,1.2762,116.08,0.7886
4-Jan-06,1.7453,1.2012,1.2903,116.16,0.7908
3-Jan-06,1.7205,1.1822,1.3143,117.86,0.7946
2-Jan-06,1.7213,1.1844,1.314,117.9,0.7935
30-Dec-05,1.7245,1.1843,1.3143,117.82,0.7929
29-Dec-05,1.7167,1.1834,1.3173,117.9,0.792
28-Dec-05,1.7274,1.1826,1.3176,117.38,0.7891
27-Dec-05,1.7325,1.1845,1.3135,116.26,0.7898
26-Dec-05,1.7339,1.1859,1.311,116.26,0.786
23-Dec-05,1.7366,1.1867,1.3118,116.73,0.7845
22-Dec-05,1.7442,1.1835,1.3128,117.31,0.79
21-Dec-05,1.7545,1.1857,1.309,117.17,0.7975
20-Dec-05,1.7624,1.2005,1.2924,116.12,0.8032
19-Dec-05,1.769,1.2026,1.2884,115.57,0.7993
16-Dec-05,1.7643,1.1974,1.2891,116.21,0.8037
15-Dec-05,1.7732,1.2001,1.2814,117.33,0.8143
14-Dec-05,1.7695,1.1943,1.2925,119.9,0.8115
13-Dec-05,1.7758,1.1951,1.2899,119.71,0.8182
12-Dec-05,1.7505,1.178,1.3061,120.73,0.8121
9-Dec-05,1.7525,1.1818,1.2998,120.3,0.8123
8-Dec-05,1.7345,1.172,1.3135,121.02,0.8119
7-Dec-05,1.7415,1.1783,1.3064,120.84,0.8298
6-Dec-05,1.7418,1.1788,1.3069,120.83,0.8304
5-Dec-05,1.732,1.1703,1.3184,121.07,0.8271
2-Dec-05,1.7304,1.1731,1.318,120.61,0.8211
1-Dec-05,1.7291,1.1787,1.3149,119.77,0.8188
30-Nov-05,1.7181,1.1776,1.3137,119.65,0.8179
29-Nov-05,1.7294,1.1843,1.3057,118.86,0.8216
28-Nov-05,1.7128,1.1713,1.3183,119.66,0.8127
25-Nov-05,1.7233,1.1786,1.3155,118.9,0.8141
24-Nov-05,1.7236,1.1823,1.3107,118.69,0.8125
23-Nov-05,1.7225,1.1818,1.3102,118.71,0.8121
22-Nov-05,1.7162,1.1726,1.3197,118.99,0.8139
21-Nov-05,1.7175,1.1774,1.3143,119.19,0.8156
18-Nov-05,1.7198,1.1756,1.3162,118.73,0.8158
17-Nov-05,1.7161,1.1665,1.3255,119.18,0.8171
16-Nov-05,1.7349,1.1718,1.3165,118.87,0.8166
15-Nov-05,1.7372,1.1687,1.318,118.8,0.8098
14-Nov-05,1.7421,1.1722,1.3118,117.97,0.8161
11-Nov-05,1.7406,1.1682,1.3152,118.23,0.8163
10-Nov-05,1.7436,1.1765,1.3104,117.54,0.8145
9-Nov-05,1.7439,1.1781,1.3103,117.24,0.8087
8-Nov-05,1.7446,1.1803,1.306,117.65,0.8066
7-Nov-05,1.7484,1.1813,1.3083,118.24,0.807
4-Nov-05,1.7707,1.1946,1.2916,117.16,0.8132
3-Nov-05,1.7763,1.2067,1.2785,116.86,0.8162
2-Nov-05,1.7658,1.2022,1.2872,116.69,0.8198
1-Nov-05,1.77,1.1993,1.2883,116.4,0.8271
31-Oct-05,1.774,1.2056,1.2809,115.7,0.8278
28-Oct-05,1.7826,1.2137,1.2729,115.43,0.8275
27-Oct-05,1.7755,1.2062,1.2825,115.83,0.8197
26-Oct-05,1.7837,1.2108,1.2758,114.98,0.8284
25-Oct-05,1.7692,1.1978,1.2879,115.33,0.8348
24-Oct-05,1.7659,1.1946,1.2922,115.87,0.8303
21-Oct-05,1.7738,1.2016,1.2878,115.31,0.825
20-Oct-05,1.7639,1.1987,1.2955,115.33,0.82
19-Oct-05,1.7508,1.1962,1.2978,115.68,0.8188
18-Oct-05,1.7533,1.2018,1.2933,114.93,0.8214
17-Oct-05,1.7685,1.2081,1.2834,114.14,0.826
14-Oct-05,1.756,1.2026,1.2886,114.45,0.8175
13-Oct-05,1.7519,1.2025,1.2874,114.32,0.816
12-Oct-05,1.7455,1.1991,1.2895,114.52,0.813
11-Oct-05,1.7543,1.2064,1.2832,114.11,0.8206
10-Oct-05,1.76,1.2117,1.2799,113.74,0.8162
7-Oct-05,1.7789,1.2184,1.2702,113.23,0.823
6-Oct-05,1.7636,1.1985,1.2919,113.84,0.8193
5-Oct-05,1.7589,1.1916,1.3015,114.28,0.8166
4-Oct-05,1.754,1.192,1.3014,114.12,0.8064
